City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Hastings,GB,50.8552,0.5729,44.01,80,58,1.99,broken clouds
283,Itaituba,BR,-4.2761,-55.9836,82.4,83,40,5.75,scattered clouds
284,Longyearbyen,SJ,78.2186,15.6401,5.0,85,20,13.8,few clouds
285,Aksu,CN,41.1231,80.2644,49.39,36,100,4.56,overcast clouds
286,Farafangana,MG,-22.8167,47.8333,77.97,85,84,5.28,light rain
287,Spiridonovka,RU,53.0925,50.6462,32.0,80,40,11.18,light snow
288,Riyadh,SA,24.6877,46.7219,84.2,13,0,9.22,clear sky
289,Villazon,BO,-22.0866,-65.5942,60.85,46,79,14.2,heavy intensity rain
290,Stavern,NO,59.0,10.0333,44.6,57,90,5.75,overcast clouds
291,Pavilosta,LV,56.8879,21.1859,39.2,81,90,3.44,overcast clouds
292,Kidal,ML,18.4411,1.4078,83.14,15,12,11.63,few clouds
293,Makat,KZ,47.6469,53.3463,34.11,72,74,7.31,broken clouds
294,Esna,EG,25.2934,32.554,89.6,14,0,4.61,clear sky
295,Stornoway,GB,58.2093,-6.3865,48.2,87,75,19.57,broken clouds
296,Banda Aceh,ID,5.5577,95.3222,79.79,77,100,7.67,overcast clouds
297,Luka Nad Jihlavou,CZ,49.374,15.7019,32.0,75,91,5.73,overcast clouds
298,Karla,EE,59.3723,24.9275,28.99,86,20,3.44,few clouds
299,Tessalit,ML,20.1986,1.0114,74.01,12,2,10.22,clear sky
300,Krasnoborsk,RU,61.5598,45.934,28.22,97,100,4.92,snow
301,Placido De Castro,BR,-10.3353,-67.1856,70.52,99,100,3.83,light rain
302,Ancud,CL,-41.8697,-73.8203,66.0,55,0,8.05,clear sky
303,Alta Floresta,BR,-9.8756,-56.0861,86.0,62,40,3.44,scattered clouds
304,Ciudad Bolivar,VE,8.1222,-63.5497,93.18,35,94,5.84,overcast clouds
305,Monroe,US,43.1501,-77.6831,66.99,15,20,3.44,few clouds
306,Marathon,US,44.9,-89.7668,64.4,25,1,5.75,clear sky
307,Maracas,BR,-13.4411,-40.4308,78.98,40,100,5.46,overcast clouds
308,Chipinge,ZW,-20.1883,32.6236,62.06,94,24,4.7,few clouds
309,Uberaba,BR,-19.7483,-47.9319,84.2,42,75,5.75,broken clouds
310,Pauini,BR,-7.7136,-66.9764,77.29,86,100,3.89,overcast clouds
311,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.05,81,78,4.74,moderate rain
312,La Rioja,ES,42.25,-2.5,46.4,66,0,11.5,clear sky
313,Kinkala,CG,-4.3614,14.7644,77.0,78,40,2.3,moderate rain
314,Den Helder,NL,52.9599,4.7593,39.0,87,90,5.75,overcast clouds
315,Beloha,MG,-25.1667,45.05,73.96,90,6,2.86,light rain
